title,genre,director,country,year,imdb_rating
27 украденных поцелуев,комедия; драма; мелодрама,Нана Джорджадзе,Грузия; Франция; Германия; Россия,2000,6.6
27 секунд памяти,документальный,Иван Качалин,Россия; Чехия; Нидерланды,2019,6.8
27 свадеб,романтическая комедия,Энн Флетчер,США,2008,6.1
25-й час,криминальный фильм; драма,Спайк Ли,США,2002,7.6
25 ватт,Комедийная драма,Хуан Пабло Ребелья; Пабло Столь,Уругвай,2001,7.1
24-25 не возвращается,"детективный фильм; драма; ,",Алоиз Бренч; Ростислав Горяев,СССР,1968,6.0
24 часа откровенного секса,порнофильм; сексплуатационный фильм,Жозе Можика Маринш; 1,Бразилия,1985,6.5
24 часа из жизни женщины,комедия,Нэнси Савока,США,1999,5.3
24 часа из жизни женщины,экранизация литературного произведения,Виктор Сэвилл; 1,Великобритания,1952,5.1
24 часа,триллер,Луис Мандоки,США; Германия,2002,6.1
24 часа,боевик; драма,Александр Атанесян,Россия,2000,6.0
24 недели,драма,Анна Зора Берашед; 1; 4,Германия,2016,7.1
24 кадра,драма,Аббас Киаростами,Иран; Франция,2017,6.8
23,триллер; драма; /,Ганс-Христиан Шмидт,Германия,1998,7.2
22 минуты,боевик,Василий Сериков,Россия,2014,5.3
22 мили,"боевик; триллер; ,",Питер Берг,США,2018,6.1
22 июля,Драма,Пол Гринграсс,США,2018,6.8
"22 июня, ровно в 4 часа…",драма,Борис Галкин,Россия,1992,6.0
21 ночь с Патти,комедия,Арно Ларье; Жан-Мари Ларье,Франция,2015,6.2
21 мост,драма; триллер; детектив,Брайан Кирк,США,2019,6.7
21 и больше,комедия,Джон Лукас; Скотт Мур,США,2013,5.8
21 грамм,драма,Алехандро Гонсалес Иньярриту,США,2003,7.6
20 тысяч разновидностей пчёл,драма; ЛГБТ-фильм,Эстибалис Урресола,Испания,2023,7.0
20 сигарет,драма; комедия,Александр Горновский,Россия,2007,5.3
20 сантиметров,комедия; мюзикл,Рамон Саласар,Испания; Франция,2005,6.6
20 дней в Мариуполе,документальный фильм; военный фильм,Мстислав Чернов,Украина,2023,8.6
20 миллионов миль до Земли,"научно-фантастический фильм; фильм о монстрах; фильм-катастрофа; приключения; фэнтези; фильм-триллер; фильм ужасов; научно-фантастический фильм ужасов; ,",Натан Юран,США; Италия; ФРГ,1957,6.3
20 декабря (телефильм),исторический фильм,Григорий Никулин,СССР,2017,6.6
20 000 лье под водой,"приключенческий фильм, научная фантастика",Род Харди,США,1997,5.7
20 000 лье под водой,фантастика,Стюарт Патон,США,1916,6.1
20 000 лет в Синг-Синге,Криминальная мелодрама; Тюремная драма,Майкл Кёртис,США,1932,6.8
20 000 дней на Земле,документальный; музыкальный,Айан Форсайт; Джейн Поллард,Великобритания,2014,7.4
20 000 лье под водой,"драма; стимпанк; приключенческий фильм; ,",Ричард Флейшер,США,1954,7.2
18-летняя девственница,комедия,Тамара Олсон,США,2008,2.9
18-14,исторический; детектив; приключение,Андрес Пуустусмаа,Россия,2007,6.0
18 мая,боевик; драма; военный; история,Ким Джи Хун,Республика Корея,2007,6.9
18 килогерц,драма,Фархат Шарипов,Казахстан,2020,6.7
18 бронзовых бойцов,боевик; драма,Джозеф Го,Гонконг; Китайская Республика,1975,6.3
17 девушек,драма,Дельфин Кулин; Мюриэль Кулин,Франция,2011,6.0
16 кварталов,криминальный фильм; драма; триллер,Ричард Доннер,США,2006,6.6
16 желаний,подростковая; фэнтезийная комедия,Питер Делуиз,США,2010,5.5
15 минут славы,Криминальная драма; боевик,Джон Херцфелд,США,2001,6.1
15 августа,комедия,Патрик Алессандрен,Франция,2001,5.6
14+,мелодрама,Андрей Зайцев,Россия,2015,6.9
14 июля,комедия,Рене Клер,Франция,1933,6.9
14 клинков,боевик; триллер,Дэниел Ли,Гонконг; Китай,2010,6.3
13-я жертва,ужасы,Мэл Хаус,США,2008,2.3
13 друзей хунты,документальный,,Россия,2014,
13-й район,боевик,Пьер Морель,Франция,2004,7.1
13-й участок,"криминальный фильм; драма; экранизация; ,",Мартин Фрич,Чехословакия,1946,6.9
13-й знак,Ужасы,Джонти Эктон; Адам Мэйсон,Великобритания,2000,3.0
14 амазонок,приключенческий фильм; драма; военный фильм,Чэн Ган; Дун Шаоюн,Гонконг,1972,6.6
13 убийц,боевик,Такаси Миикэ,Япония,2010,7.5
13-й апостол,фантастический фильм,Сурен Бабаян,СССР,1988,5.7
13 призраков,фильм ужасов,Уильям Касл,США,1960,6.1
13 изгнаний дьявола,фильм ужасов,Хакобо Мартинес,Испания,2022,4.4
13 стульев,Комедия,Эмерих Йозеф Войтек,Нацистская Германия,1938,6.9
13 дней во Франции,документальный фильм; спортивный фильм,Клод Лелуш; Франсуа Рейшенбах; Жиль Ги,Франция,1968,6.6
13 грехов,"триллер; фильм ужасов; ,",Даниэль Штамм,США,2014,6.3
12 стульев,комедия; мюзикл; мелодрама,Марк Захаров,СССР,1976,8.2
12 стульев,комедия,Леонид Гайдай,СССР,1971,8.2
12 стульев (телеспектакль),телеспектакль,Александр Белинский,СССР,1966,6.9
12 раундов,боевик; триллер; криминал,Ренни Харлин,США,2009,5.6
12 разгневанных мужчин,процессуальная драма,Уильям Фридкин,США,1997,7.8
12 разгневанных мужчин,драма; юридическая,Сидни Люмет,США,1957,9.0
12 обезьян,фантастика; триллер; драма; антиутопия,Терри Гиллиам,США,1995,8.0
12 могил Ходжи Насреддина,"комедия; сказка; ,",Климентий Минц,СССР,1966,5.4
12 месяцев. Новая сказка,"фильм-сказка; комедия; мелодрама; семейный фильм; ,",Денис Елеонский,Россия,2015,5.0
12 месяцев,романтическая; фэнтезийная комедия,Александр Баршак,Россия,2013,4.2
12 лет рабства,историческая; драма,Стив Маккуин,Великобритания; США,2013,8.1
12 дней страха,"ужасы; триллер; драма; ,",Джек Шолдер,ЮАР,2004,5.5
12,"психологический; триллер; юридический; детектив; драма; ,",Никита Михалков,Россия,2007,7.5
,драма,Филипп Годо,Франция,2013,5.7
11-11-11,фильм ужасов о сверхъестественном,Даррен Линн Боусман,США; Испания,2011,3.9
11 сентября,драма; исторический; киноальманах,Самира Махмальбаф; Клод Лелуш; Юсеф Шахин; Данис Танович; Идрисса Уэдраого; Кен Лоуч; Алехандро Гонсалес Инарриту; Амос Гитай; Мира Наир; Шон Пенн; Сёхэй Имамура,Иран; Франция; Египет; Босния и Герцеговина; Буркина-Фасо; Великобритания; Мексика; Израиль; Индия; США; Япония,2002,6.8
10 шагов к успеху,комедийная драма,Брэд Силберлинг,США,2006,6.5
10 причин моей ненависти,подростковая; романтическая комедия,Джил Джангер,США,1999,7.4
10 на 10,психологический триллер,Сьюзи Юинг,Великобритания; США,2018,5.2
10 лет спустя,романтическая; комедийная драма,Джеми Линден,США,2011,6.1
10 миль в час,Документальное кино,Хантер Уикс,США,2007,6.5
10 000 лет до нашей эры,приключенческий боевик,Роланд Эммерих,ЮАР; США,2008,5.1
9/11,драма; фильм-катастрофа,Мартин Гиги,США,2017,4.5
9 смертей ниндзя,боевик,Эмметт Олстон,США,1985,3.9
9 секунд,"биография; драма; ,",Олег Штром,Россия,2024,4.6
9 рота,"военно; исторический; боевик; драма; ,",Фёдор Бондарчук,Россия; Украина,2005,7.0
9 песен,драма; мелодрама; музыкальный фильм; эротика,Майкл Уинтерботтом,Великобритания,2004,4.8
9 месяцев строгого режима,комедия,Альбер Дюпонтель,Франция,2013,6.4
9 мёртвых геев,драма; комедия,Лаб Ки Мо,Великобритания,2002,6.2
9 мая. Личное отношение,Телеальманах,Авдотья Смирнова; Александр Котт; Владимир Котт; Евгений Лаврентьев; Карен Оганесян; Максим Пежемский; Егор Кончаловский; Василий Чигинский,Россия,2008,6.4
9 душ,фильм-драма,Тосиаки Тоёда,Япония,2003,7.2
9 апреля,"Военный, драма",Рони Эзра,Дания,2015,6.6
8-битное Рождество,комедия,Майкл Даус,США,2021,6.7
8 свиданий,Романтическая кинокомедия,"Перис Романо, Родриго Сорогойен",Испания,2008,6.0
8 подруг Оушена,кинокомедия; криминальный фильм,Гэри Росс,США,2018,6.3
8 первых свиданий,"мелодрама; комедия; ,",Дэвид Додсон; Александр Маляревский,Россия; Украина,2012,6.0
8 миллиметров,триллер; криминал,Джоэл Шумахер,США; Германия,1999,6.6
8 женщин,мюзикл; комедия; детектив,Франсуа Озон,Франция; Италия,2002,7.0
8 ½ $,криминальная комедия,Григорий Константинопольский,Россия,1999,6.3
8,драма; историческая,Хулио Медем,Испания,2025,5.6
07-й меняет курс,боевик; драма; /,Владимир Потапов,Россия,2007,5.6
8 лучших свиданий,комедия; мелодрама; /,Марюс Вайсберг,Россия; Украина,2016,3.9
7 ящиков,триллер; криминал,Хуан Карлос Манелья; Тана Шембори,Парагвай,2012,7.1
7 секунд,боевик,Саймон Феллоуз,США; Румыния; Швейцария; Великобритания,2005,4.8
"7 дней, 7 ночей",семейный фильм,Айк Кбеян,Россия,2024,6.2
7 дней и ночей с Мэрилин,драма; биография,Саймон Кёртис,Великобритания,2011,6.9
7 женщин,драма,Джон Форд,США,1966,6.7
7 дней до смерти,драма; фильм ужасов; триллер,Себастьян Ниман,США; Германия; Чехия,2000,5.1
7 дней в Сирии,документальный фильм,Роберт Риппбергер,США,2015,7.3
7 главных желаний,комедия; мелодрама,Вадим Соколовский,Россия,2013,1.5
5 причин не влюбиться в казаха,комедия,Аскар Узабаев,Казахстан,2017,
6-й день,фантастика; триллер,Роджер Споттисвуд,США,2000,5.9
6 дней,боевик; триллер,Тоа Фрейзер,Великобритания; Новая Зеландия,2017,6.2
5-я волна,постапокалиптика; научная фантастика,Дж. Блэйксон,США,2016,5.2
5×2,мелодрама; драма,Франсуа Озон,Франция,2004,6.6
5 терапия,"драма; триллер; биография; ,",Алиса Павловская,Украина,2017,7.3
5 сантиметров в секунду,,Ёсиюки Окуяма,Япония,2025,7.0
5 разбитых камер,документальный фильм,"Эмад Бурнат, Гай Давиди",Израиль; ПНА; Франция; Нидерланды,2011,7.9
5 неизвестных,триллер,Симон Бранд,США,2006,6.4
5 недель,трагикомедия,Александр Андреев,Россия,2021,4.7
5 дней в августе,военный; боевик,Ренни Харлин,США; Грузия,2011,5.6
,триллер,Ноэль Кларк,Великобритания,2010,5.8
4 x 4,"драма, комедия","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара",Финляндия; Норвегия; Швеция; Дания,1965,6.7
"4 месяца, 3 недели и 2 дня",драма; психологическая,Кристиан Мунджиу,Румыния,2007,7.9
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997,7.8
4 листа фанеры,детектив,Иван Гаврилюк; Сайдо Курбанов,Украина,1992,5.4
4 дня в мае,военная; драма; боевик,Ахим фон Боррис,Германия; Украина; Россия,2011,6.4
4 американских композитора,"документальный; музыкальный; ,",Питер Гринуэй,Великобритания,1983,7.3
4,драма,Илья Хржановский,Россия; Нидерланды,2004,6.5
3 ночи в пустыне,драма,Гэбриэль Коуэн,США,2014,4.6
3 идиота,комедия; семейный фильм,Карлос Боладо,Мексика,2017,4.4
3 идиота,комедия; драма; /,Раджкумар Хирани,Индия,2009,8.4
,драма; семейный,Юго Желен,Франция; Великобритания,2016,7.3
3 гигантских человека,супергеройский фильм,Tevfik Fikret Uçak,,1973,4.0
2-Асса-2,драма,Сергей Соловьёв,Россия,2008,4.6
2 Girls 1 Cup,порнофильм; ЛГБТ-фильм,Марко Фиорито,Бразилия,2007,4.1
2 секунды,комедия,Манон Брайан,Канада,1998,6.6
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977,3.2
1+1,комедийная драма; бадди-муви,Оливье Накаш; 2; Эрик Толедано,Франция,2011,8.5
2 дня в Париже,комедия; драма; мелодрама,Жюли Дельпи,Франция; Германия,2007,6.7
01-99,комедия,Амасий Мартиросян,СССР,1959,7.7
1 миля до тебя,драма; мелодрама,Лейф Тильден,США,2017,6.3
1 %,криминальный,Стив МакКаллум,Австралия,2017,5.3
1,документальный,Пол Краудер,США,2013,7.9
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,
0-41*,документальный; драма; комедия,Сенна Хегде,Индия,2016,8.9
«Спартак». Действующие лица и… болельщики,"документальный; спорт; ,","Илья Гутман; Иосиф Пастернак; ,",СССР,1985,
(Не)идеальные роботы,"романтическая комедия; научно-фантастический фильм; ,; экранизация литературного произведения",Энтони Хайнс; Каспер Кристенсен,США,2023,5.5
«SOS» над тайгой,"драма; приключения; ,","Аркадий Кольцатый; ,; Валентин Перов",СССР,1976,5.3
(Не)бывшие,драма; мелодрама,Стефан Бризе,Франция,2023,6.4
"«Москвич», любовь моя",драма,Арам Шахбазян,Армения; Франция; Россия,2015,7.9
…которого любили все,документально; биографический фильм,Леонид Осыка,СССР,1982,7.2
…И прекрасный миг победы,спортивный фильм,Вячеслав Винник,СССР,1984,3.8
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972,6.8
…а пятый всадник — Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965,7.2
?,драма; 1,Ханун Брамантйо; 1,Индонезия,2011,6.9
"Аватар, или Замена душ",фантастика; драма,Януш Маевский,Польша,1964,6.7
Аватар 4,эпический фильм; научная фантастика; боевик; приключения; фэнтези,Джеймс Кэмерон,США,2029,
Аватар,эпический фильм; научная фантастика; приключенческий боевик; 1; драма,Джеймс Кэмерон,3; 9; 10; США; Великобритания,2009,7.9
Аватар,драма; мистическая,Кармине Галлоне,Италия,1916,7.0
Авария,триллер,Джонатан Мостоу,США,1997,7.0
Авария,детектив,Джеймс Аллен,ЮАР; США; Заир,1990,3.6
Авария,боевик,Серджиу Николаеску,Румыния,1976,6.6
Авария,детектив; драма,Витаутас Жалакявичюс,СССР,1974,6.7
Авария — дочь мента,драма,Михаил Туманишвили,СССР,1989,6.7
Авария,Детектив,Александр Абрамов; Наум Бирман,СССР,1965,6.8
Аварийный выход,комедия,Роман Залуски,Польша,1982,6.7
Авантюристы,приключения,Константин Буслов,Россия,2014,4.2
Авантюристы,"драма; комедия; боевик; военный; приключения; ,",Анри Вернёй,Франция,1984,6.1
Авантюристы,приключенческий фильм,Дэвид Макдональд,Великобритания,1951,5.5
Авантюрист,драма; 1; приключенческий фильм; военная,Чжан Пэйчэн,Китайская Республика,1976,6.8
Авантюра леди Хелен,короткометражный фильм,Дэвид Уорк Гриффит,США,1909,5.2
Авантюра,"комедия; шпионский фильм; ,",Виталий Макаров,Россия; Украина,1995,4.2
Аванти!,комедия,Билли Уайлдер,США; Италия,1972,7.2
Аванти пополо,военная драма,Рафи Букай,Израиль,1986,7.4
Авансцена,драма; биография,Стэнли Кван,Гонконг,1991,7.4
Аванпост,"фильм-триллер; научно-фантастический фильм; боевик; антиутопический фильм; ,","Баранов, Егор Геннадьевич",Россия,2019,6.0
Авалон,фантастика; триллер; драма; киберпанк,Мамору Осии,Япония; Польша,2001,6.4
Авалон,драма,Барри Левинсон,США,1990,7.2
Ава,драма,Леа Мисиус,Франция,2017,6.6
Абу Райхан Беруни,драма,Шухрат Аббасов,СССР,1974,6.7
Абсурдистан,Комедия,Файт Хельмер,Германия; Азербайджан,2008,6.7
Абсолютные новички,драма; фэнтези; мелодрама; мюзикл,Джулиен Темпл,Великобритания; Австралия,1986,5.6
Абсолютная сотня,криминал; драма; боевик; триллер,Срджан Голубович,СР Югославия,2001,7.5
Абсолютная власть,драма; триллер; детектив,Даниэль Рагуссис,США,2016,6.5
Абсолютная власть,драма; триллер,Клинт Иствуд,США,1997,6.7
Абсолютная власть,"драма; триллер; ,",Джон Ирвин,"Франция; ,; Израиль; Канада; Великобритания",1990,5.9
Абсолон,фантастический боевик,Дэвид Барто,Великобритания; Канада,2003,4.2
Абрикосовые рощи,драма; мелодрама,Пуриа Хейдари Урех,Армения,2016,7.6
"Абраксас, хранитель Вселенной",боевик,Дэмьен Ли,США,1991,2.9
Аборт,,Ариндам Сил,Индия,2013,6.1
Абориген,Драма,Елена Николаева,СССР,1988,7.0
Абитуриентка,Драма,Алексей Мишурин,СССР,1973,5.8
Абдулла Арипов,"история; биография; ,",Музаффархон Эркинов,Узбекистан,2023,
Абель,комедия,Алекс ван Вармердам,Нидерланды,1986,7.4
Абесалом и Этери,"опера; драма; романтика; ,",Леонард Эсакия,Грузия,1966,7.1
"Абдулладжан, или Посвящается Стивену Спилбергу","фантастический фильм; комедия; ,",Зульфикар Мусаков,СССР,1991,7.1
Аббатство Даунтон 3,,Саймон Кёртис,Великобритания; США,2025,7.3
Аббатство Даунтон,драма,Майкл Энглер,Великобритания,2019,7.4
Аббат Шаолиня,боевик; приключенческий фильм,Хэ Мэнхуа,Гонконг,1979,6.4
Абатуар. Лабиринт страха,фильм ужасов,Даррен Линн Боусман,США,2016,4.5
Аафат,криминальный триллер,Атма Рам,Индия,1977,5.4
Аанг (серия),,,,2024,7.4
А чой-то ты во фраке?,комедия; мюзикл; /,Иосиф Райхельгауз,Россия,1993,6.7
А у нас была тишина…,военная драма,Владимир Шамшурин,СССР,1977,6.2
А у вас который час?,драма,Цай Минлян,Китайская Республика,2001,7.3
"А теперь, дамы и господа",криминальный фильм; драма; мелодрама; триллер,Клод Лелуш,Франция; Великобритания,2002,6.1
А теперь суди…,драма,Владимир Довгань,СССР,1966,6.1
А теперь нечто совсем другое,комедия,Иан Макнафтон,Великобритания,1971,7.5
А теперь не смотри,мистический триллер,Николас Роуг,Великобритания; Италия,1973,7.1
А счастье рядом,мелодрама,Маргарита Касымова,СССР; Таджикская ССР,1978,4.5
А поутру они проснулись,комедия; драма,Сергей Никоненко,Россия,2003,6.0
А потом мы танцевали,драма,Леван Акин,Грузия; Франция; Швеция,2019,7.6
А защищал её Плевако,драма,Николай Козловский,Российская империя,1916,
А пароходы гудят и уходят…,,Рубен Мурадян,СССР,1972,6.2
"А ну-ка, дедушки!",комедия,"Нинель Ненова-Цулая; Гено Цулая; ,",Болгария; СССР,1981,5.1
А кто я на этот раз?,драма,Джонатан Демми,США,1983,7.6
А как же Боб?,комедия,Фрэнк Оз,США,1991,7.0
А зори здесь тихие...,драма; военный,Ренат Давлетьяров,Россия,2015,6.8
А зори здесь тихие,драма; военный; экранизация,Станислав Ростоцкий,СССР,1972,8.0
А завтра весь мир,драма,Юлия фон Хайнц,,2020,6.0
А если это любовь?,драма,Юлий Райзман,СССР,1962,7.3
А вы любили когда-нибудь?,музыкальная комедия,Игорь Усов,СССР,1973,4.6
А вот и Хаггетты,"комедия; драма; ,",Кен Эннакин,Великобритания,1948,6.2
А вот и Полли,комедия,Джон Гамбург,США,2004,6.0
А вот и Лола,Романтическая комедия,Эллен Сидлер; Мэган Силер,США,2009,3.9
А вот и гости!,комедия; драма; семейный фильм; фэнтези,Дэвид Йейтс,Великобритания,2003,6.8
А в душе я танцую,драма,Дэмиен О'Доннелл,Великобритания; Ирландия; Франция,2004,7.7
А был ли Каротин?,детективный фильм; комедия,Геннадий Полока,СССР,1989,6.1
7500,Триллер; боевик,Патрик Воллрат,"США; ,; Австрия; Германия",2019,6.3
7500,ужасы; триллер,Такаси Симидзу,США; Япония,2014,4.8
3096 дней,драма,Шерри Хорман,Германия,2013,6.5
3000 миль до Грейсленда,"драма; комедия; криминал; триллер; ,",Дэмиен Лихтенштайн,США,2001,6.0
2081,Фантастика; Антиутопия,Чендлер Таттл,США,2009,6.9
,"научная фантастика; драма; ,",Принстон Холт,США,2018,3.8
2046,драма; мелодрама; фантастика,Вонг Карвай,Китай; Гонконг,2004,7.4
2030 — Восстание молодых немцев,фантастика; драма,Йорг Людорф,Германия,2011,5.4
2012,научно-фантастический; фильм-катастрофа,Роланд Эммерих,3; США,2009,5.9
2001 маньяк,комедия ужасов,Тим Салливан,США,2005,5.3
2000 метров до Андреевки,документальный фильм,Мстислав Чернов,Украина,2025,8.4
1993,драма,Александр Велединский,Россия,2023,6.3
1984,антиутопия,Диана Ринго,Финляндия; Россия,2023,4.1
1984,антиутопия,Майкл Рэдфорд,Великобритания,1984,7.0
1984,антиутопия; драма; фантастика,Майкл Андерсон,Великобритания,1956,6.9
1984 (рекламный ролик),Реклама,Ридли Скотт,США,1983,7.9
1971,документалистика,Джоанна Гамильтон,США,2014,7.3
1944,военный фильм; драма,Эльмо Нюганен; 1,Эстония; Финляндия,2015,7.0
1941. Крылья над Берлином,биография; мелодрама,Константин Буслов,Россия,2022,5.7
1941,военная; комедия,Стивен Спилберг,США,1979,5.8
1939,драма,Стивен Поляков,Великобритания,2009,6.4
1922,"криминальная драма; триллер; ,",Зак Хилдитч,США,2017,6.2
1939,драма,Йоран Кармбак,Швеция,1989,6.1
1917,военный фильм,Сэм Мендес,Великобритания; США,2019,8.2
1002-ая ночь,музыкальный фильм,Мукадас Махмудов,СССР,1964,
1860,Драма,Алессандро Блазетти,Италия,1934,6.6
1812 год,драма; исторический,Василий Гончаров; Кай Ганзен; Александр Уральский,Российская империя,1912,5.7
1812 (документальный цикл),"документальный; драма; ,",Павел Тупик,Россия,1812,7.3
1612,Приключенческий фильм,Владимир Хотиненко,Россия,2007,5.6
1500 шагов,драма,Джош Рейд,Австралия,2014,5.5
1408,психологические ужасы; триллер; мистика; психоделика; драма,Микаэль Хофстрём,США,2007,6.8
1210,драма,Арсений Гончуков,Россия,2012,6.0
1040,документальный,Эван Джексон Леонг,США,2010,8.0
977,"фантастика; драма; ,",Николай Хомерики,Россия,2006,5.5
900 незабываемых дней,документальный; пропагандистский,Валерий Соловцов,СССР,1964,
900 дней. Миф и реальность ленинградской блокады,документальный,Джессика Гортер,Нидерланды,2011,7.3
800 пуль,драма,Алекс Де Ла Иглесиа,Испания,2002,6.3
800 льё вниз по Амазонке,приключения,Луис Льоса,Перу; США,1993,4.5
713-й просит посадку,"драма; триллер; приключение; фильм-катастрофа; ,",Григорий Никулин,СССР,1962,5.7
711 Оушен Драйв,Фильм нуар,Джозеф М. Ньюман,США,1950,6.8
500 дней лета,романтическая; комедийная драма,Марк Уэбб,США,2009,7.6
600 миль,драма,Габриэль Рипштейн,Мексика,2015,5.5
451 градус по Фаренгейту,"драма; антиутопическое произведение; научно-фантастический фильм; экранизация романа; ,",Рамин Бахрани,США,2018,5.0
475,документальный фильм,Nadir Bouhmouch,Марокко,2013,7.1
365 дней,эротическая комедия,Барбара Бяловонс; Томаш Мандес,Польша,2020,3.3
451 градус по Фаренгейту,антиутопия,Франсуа Трюффо,Франция; Великобритания,1966,7.2
317-й взвод,военный фильм; драма,Пьер Шёндёрффер; 1,Франция; Испания,1964,7.3
"301, 302",триллер; фильм ужасов; детектив,Пак Чхоль Су,Республика Корея,1995,6.4
300 спартанцев,эпический; исторический; боевик,Зак Снайдер,США,2006,7.6
247 градусов по Фаренгейту,фильм ужасов,Леван Бакха,США; Грузия,2011,4.8
200 сигарет,комедия; драма; мелодрама,Риза Брэмон Гарсия,США,1999,6.0
187,"драма; триллер; ,",Кевин Рейнольдс,США,1997,6.6
180,документальный фильм,Рэй Комфорт,США,2011,4.9
130 детей,документальный фильм; 1,Ainara Aparici,,2022,7.9
128 ударов сердца в минуту,музыкальная драма,Макс Джозеф,"США; ,; Франция; Великобритания",2015,6.4
127 часов,драма; триллер,Дэнни Бойл,США; Великобритания,2010,7.5
120 ударов в минуту,драма; ЛГБТ-фильм; 1,Робен Кампийо,Франция,2017,7.4
109-й идёт без остановок,фильм-катастрофа,Дзюнъя Сато,Япония,1975,6.8
101-й километр,драма,Леонид Марягин,Россия,2001,6.7
102 далматинца,комедия,Кевин Лима,США,2000,4.9
101 Рейс,биография,Акром Шахназаров,Узбекистан,2022,7.6
101 Рейкьявик,романтическая комедия,Балтазар Кормакур,Исландия; Дания; Норвегия; Франция,2000,6.7
101 далматинец,семейный фильм; комедия; приключенческий фильм,Стивен Херек,США,1996,5.8
100 футов,триллер,Эрик Ред,США,2008,5.4
100 слёз,фильм ужасов,Маркус Кох,США,2007,4.2
100 проблем и девушка,Комедия,Мэтью Хаффман,США,2000,5.8
100 миллионов евро,комедия,Оливье Барру,Франция,2011,5.5
100 метров,драма; комедия,Марсель Баррена,Испания; Португалия,2016,7.5
100 лет,Научная фантастика,Роберт Родригес,Франция,2015,
100 девчонок и одна в лифте,комедия,Майкл Дэвис,США,2000,5.8
100 всадников,исторический фильм; приключенческий фильм,Витторио Коттафави,ФРГ; Италия; Испания,1964,6.3
100 вещей и ничего лишнего,комедия,Флориан Давид Фиц,Германия,2018,6.3
99 франков,"комедия; драма; ,",Ян Кунен,Франция,2007,7.1
99 женщин,драма; триллер; фильм ужасов,Хесус Франко,ФРГ; Великобритания; Италия; Испания; Лихтенштейн,1969,4.6
99 домов,драма; 1; 2,Рамин Бахрани,США,2014,7.1
100 дней с Мистером Высокомерие,романтическая кинокомедия; мелодрама,Шин Джэ-хо,Республика Корея,2004,6.0
99,криминальный фильм,Майкл Кёртис,Венгрия,1918,4.3
92 ядерных взрыва на планете Земля,документальный фильм,Питер Гринуэй,,2010,7.2
90 минут на небесах,драма,Майкл Полиш,США,2015,4.9
88 минут,триллер,Джон Эвнет,США; Канада; Германия,2007,5.9
80 миллионов,"драма; боевик; исторический фильм; ,",Вальдемар Кшистек,Польша,2011,6.6
76 дней,документальный фильм,Ли Ву,Китай; США,2020,7.1
72 часа,военный; драма,Кира Ангелина,Россия,2015,5.9
72 метра,фильм-катастрофа; драма; трагикомедия,Владимир Хотиненко,Россия,2004,6.5
71 фрагмент хронологии случайностей,драма,Михаэль Ханеке,Австрия; Германия,1994,7.1
71,историческая; драма,Ян Деманж,Великобритания,2014,7.2
69,комедия; криминальный фильм,Пен-Ек Ратанаруанг,Таиланд,1999,7.2
65,научная фантастика,Скотт Бек; Брайан Вудс,США; 5,2023,5.4
55,"документальный фильм; пропаганда; ,",Никита Михалков,Россия,2007,
57 секунд,,Расти Кандифф,США,2023,5.4
55-й элемент,драма; фильм-катастрофа,Энтони Пхунь,Гонконг,2024,6.3
